
=== PEPE ===
2025-02-01 → 👍 747  👎 570  📊 1317  👍比: 56.72%  👎比: 43.28%  多數: up | 真實: up ✅
2016-01-07 → 👍 92  👎 70  📊 162  👍比: 56.79%  👎比: 43.21%  多數: up | 真實: down ❌
2016-01-08 → 👍 82  👎 61  📊 143  👍比: 57.34%  👎比: 42.66%  多數: up | 真實: down ❌
2016-01-09 → 👍 81  👎 64  📊 145  👍比: 55.86%  👎比: 44.14%  多數: up | 真實: up ✅
2016-01-10 → 👍 68  👎 51  📊 119  👍比: 57.14%  👎比: 42.86%  多數: up | 真實: down ❌
2016-01-11 → 👍 54  👎 48  📊 102  👍比: 52.94%  👎比: 47.06%  多數: up | 真實: down ❌
2016-01-12 → 👍 61  👎 63  📊 124  👍比: 49.19%  👎比: 50.81%  多數: down | 真實: down ✅
2016-01-13 → 👍 59  👎 48  📊 107  👍比: 55.14%  👎比: 44.86%  多數: up | 真實: up ✅
2016-01-14 → 👍 56  👎 38  📊 94  👍比: 59.57%  👎比: 40.43%  多數: up | 真實: down ❌
2016-01-15 → 👍 87  👎 63  📊 150  👍比: 58.00%  👎比: 42.00%  多數: up | 真實: down ❌
2016-01-16 → 👍 60  👎 45  📊 105  👍比: 57.14%  👎比: 42.86%  多數: up | 真實: down ❌
2016-01-17 → 👍 63  👎 41  📊 104  👍比: 60.58%  👎比: 39.42%  多數: up | 真實: down ❌
2016-01-18 → 👍 77  👎 73  📊 150  👍比: 51.33%  👎比: 48.67%  多數: up | 真實: up ✅
2016-01-19 → 👍 75  👎 43  📊 118  👍比: 63.56%  👎比: 36.44%  多數: up | 真實: down ❌
2016-01-20 → 👍 65  👎 44  📊 109  👍比: 59.63%  👎比: 40.37%  多數: up | 真實: up ✅
2016-01-21 → 👍 75  👎 56  📊 131  👍比: 57.25%  👎比: 42.75%  多數: up | 真實: up ✅
2016-01-22 → 👍 39  👎 80  📊 119  👍比: 32.77%  👎比: 67.23%  多數: down | 真實: up ❌
2016-01-23 → 👍 46  👎 44  📊 90  👍比: 51.11%  👎比: 48.89%  多數: up | 真實: down ❌
2016-01-24 → 👍 121  👎 92  📊 213  👍比: 56.81%  👎比: 43.19%  多數: up | 真實: up ✅
2016-01-25 → 👍 148  👎 124  📊 272  👍比: 54.41%  👎比: 45.59%  多數: up | 真實: down ❌
2016-01-26 → 👍 175  👎 148  📊 323  👍比: 54.18%  👎比: 45.82%  多數: up | 真實: up ✅
2016-01-27 → 👍 209  👎 159  📊 368  👍比: 56.79%  👎比: 43.21%  多數: up | 真實: up ✅
2016-01-28 → 👍 138  👎 101  📊 239  👍比: 57.74%  👎比: 42.26%  多數: up | 真實: down ❌
2016-01-29 → 👍 138  👎 91  📊 229  👍比: 60.26%  👎比: 39.74%  多數: up | 真實: down ❌
2016-01-30 → 👍 95  👎 76  📊 171  👍比: 55.56%  👎比: 44.44%  多數: up | 真實: down ❌
2016-01-31 → 👍 140  👎 112  📊 252  👍比: 55.56%  👎比: 44.44%  多數: up | 真實: down ❌
2016-02-01 → 👍 104  👎 79  📊 183  👍比: 56.83%  👎比: 43.17%  多數: up | 真實: down ❌
2016-02-02 → 👍 50  👎 230  📊 280  👍比: 17.86%  👎比: 82.14%  多數: down | 真實: up ❌
2016-02-03 → 👍 58  👎 249  📊 307  👍比: 18.89%  👎比: 81.11%  多數: down | 真實: up ❌
2016-02-04 → 👍 112  👎 86  📊 198  👍比: 56.57%  👎比: 43.43%  多數: up | 真實: up ✅
2016-02-05 → 👍 80  👎 89  📊 169  👍比: 47.34%  👎比: 52.66%  多數: down | 真實: up ❌
2016-02-06 → 👍 116  👎 96  📊 212  👍比: 54.72%  👎比: 45.28%  多數: up | 真實: down ❌
2016-02-07 → 👍 124  👎 116  📊 240  👍比: 51.67%  👎比: 48.33%  多數: up | 真實: up ✅
2016-02-08 → 👍 38  👎 136  📊 174  👍比: 21.84%  👎比: 78.16%  多數: down | 真實: up ❌
2016-02-09 → 👍 77  👎 69  📊 146  👍比: 52.74%  👎比: 47.26%  多數: up | 真實: down ❌
2016-02-10 → 👍 115  👎 88  📊 203  👍比: 56.65%  👎比: 43.35%  多數: up | 真實: up ✅
2016-02-11 → 👍 97  👎 74  📊 171  👍比: 56.73%  👎比: 43.27%  多數: up | 真實: down ❌
2016-02-12 → 👍 89  👎 60  📊 149  👍比: 59.73%  👎比: 40.27%  多數: up | 真實: down ❌
2016-02-13 → 👍 77  👎 66  📊 143  👍比: 53.85%  👎比: 46.15%  多數: up | 真實: down ❌
2016-02-14 → 👍 28  👎 118  📊 146  👍比: 19.18%  👎比: 80.82%  多數: down | 真實: down ✅
2016-02-15 → 👍 26  👎 114  📊 140  👍比: 18.57%  👎比: 81.43%  多數: down | 真實: down ✅
2016-02-16 → 👍 25  👎 143  📊 168  👍比: 14.88%  👎比: 85.12%  多數: down | 真實: down ✅
2016-02-17 → 👍 90  👎 73  📊 163  👍比: 55.21%  👎比: 44.79%  多數: up | 真實: down ❌
2016-02-18 → 👍 79  👎 81  📊 160  👍比: 49.38%  👎比: 50.62%  多數: down | 真實: down ✅
2016-02-19 → 👍 127  👎 111  📊 238  👍比: 53.36%  👎比: 46.64%  多數: up | 真實: up ✅
2016-02-20 → 👍 90  👎 65  📊 155  👍比: 58.06%  👎比: 41.94%  多數: up | 真實: up ✅
2016-02-21 → 👍 30  👎 119  📊 149  👍比: 20.13%  👎比: 79.87%  多數: down | 真實: down ✅
2016-02-22 → 👍 99  👎 62  📊 161  👍比: 61.49%  👎比: 38.51%  多數: up | 真實: down ❌
2016-02-23 → 👍 25  👎 117  📊 142  👍比: 17.61%  👎比: 82.39%  多數: down | 真實: down ✅
2016-02-24 → 👍 22  👎 128  📊 150  👍比: 14.67%  👎比: 85.33%  多數: down | 真實: down ✅
2016-02-25 → 👍 111  👎 90  📊 201  👍比: 55.22%  👎比: 44.78%  多數: up | 真實: down ❌
2016-02-26 → 👍 25  👎 150  📊 175  👍比: 14.29%  👎比: 85.71%  多數: down | 真實: down ✅
2016-02-27 → 👍 18  👎 125  📊 143  👍比: 12.59%  👎比: 87.41%  多數: down | 真實: down ✅
2016-02-28 → 👍 93  👎 85  📊 178  👍比: 52.25%  👎比: 47.75%  多數: up | 真實: down ❌
2016-02-29 → 👍 99  👎 73  📊 172  👍比: 57.56%  👎比: 42.44%  多數: up | 真實: down ❌
2016-03-01 → 👍 72  👎 63  📊 135  👍比: 53.33%  👎比: 46.67%  多數: up | 真實: down ❌
2016-03-02 → 👍 22  👎 124  📊 146  👍比: 15.07%  👎比: 84.93%  多數: down | 真實: down ✅
2016-03-03 → 👍 91  👎 79  📊 170  👍比: 53.53%  👎比: 46.47%  多數: up | 真實: up ✅
2016-03-04 → 👍 82  👎 72  📊 154  👍比: 53.25%  👎比: 46.75%  多數: up | 真實: up ✅
2016-03-05 → 👍 95  👎 63  📊 158  👍比: 60.13%  👎比: 39.87%  多數: up | 真實: up ✅
2016-03-06 → 👍 101  👎 58  📊 159  👍比: 63.52%  👎比: 36.48%  多數: up | 真實: up ✅
2016-03-07 → 👍 113  👎 89  📊 202  👍比: 55.94%  👎比: 44.06%  多數: up | 真實: up ✅
2016-03-08 → 👍 78  👎 70  📊 148  👍比: 52.70%  👎比: 47.30%  多數: up | 真實: up ✅
2016-03-09 → 👍 27  👎 124  📊 151  👍比: 17.88%  👎比: 82.12%  多數: down | 真實: up ❌
2016-03-10 → 👍 108  👎 93  📊 201  👍比: 53.73%  👎比: 46.27%  多數: up | 真實: down ❌
2016-03-11 → 👍 91  👎 69  📊 160  👍比: 56.88%  👎比: 43.12%  多數: up | 真實: down ❌
2016-03-12 → 👍 87  👎 68  📊 155  👍比: 56.13%  👎比: 43.87%  多數: up | 真實: down ❌
2016-03-13 → 👍 53  👎 130  📊 183  👍比: 28.96%  👎比: 71.04%  多數: down | 真實: down ✅
2016-03-14 → 👍 98  👎 74  📊 172  👍比: 56.98%  👎比: 43.02%  多數: up | 真實: down ❌
2016-03-15 → 👍 63  👎 65  📊 128  👍比: 49.22%  👎比: 50.78%  多數: down | 真實: down ✅
2016-03-16 → 👍 75  👎 51  📊 126  👍比: 59.52%  👎比: 40.48%  多數: up | 真實: up ✅
2016-03-17 → 👍 84  👎 88  📊 172  👍比: 48.84%  👎比: 51.16%  多數: down | 真實: up ❌
2016-03-18 → 👍 82  👎 72  📊 154  👍比: 53.25%  👎比: 46.75%  多數: up | 真實: down ❌
2016-03-19 → 👍 86  👎 81  📊 167  👍比: 51.50%  👎比: 48.50%  多數: up | 真實: down ❌
2016-03-20 → 👍 93  👎 75  📊 168  👍比: 55.36%  👎比: 44.64%  多數: up | 真實: up ✅
2016-03-21 → 👍 26  👎 133  📊 159  👍比: 16.35%  👎比: 83.65%  多數: down | 真實: up ❌
2016-03-22 → 👍 84  👎 81  📊 165  👍比: 50.91%  👎比: 49.09%  多數: up | 真實: up ✅
2016-03-23 → 👍 27  👎 118  📊 145  👍比: 18.62%  👎比: 81.38%  多數: down | 真實: down ✅
2016-03-24 → 👍 26  👎 113  📊 139  👍比: 18.71%  👎比: 81.29%  多數: down | 真實: up ❌
2016-03-25 → 👍 21  👎 110  📊 131  👍比: 16.03%  👎比: 83.97%  多數: down | 真實: down ✅
2016-03-26 → 👍 68  👎 73  📊 141  👍比: 48.23%  👎比: 51.77%  多數: down | 真實: down ✅
2016-03-27 → 👍 107  👎 73  📊 180  👍比: 59.44%  👎比: 40.56%  多數: up | 真實: down ❌
2016-03-28 → 👍 81  👎 59  📊 140  👍比: 57.86%  👎比: 42.14%  多數: up | 真實: down ❌
2016-03-29 → 👍 96  👎 79  📊 175  👍比: 54.86%  👎比: 45.14%  多數: up | 真實: up ✅
2016-03-30 → 👍 79  👎 59  📊 138  👍比: 57.25%  👎比: 42.75%  多數: up | 真實: up ✅
2016-03-31 → 👍 89  👎 61  📊 150  👍比: 59.33%  👎比: 40.67%  多數: up | 真實: up ✅
2016-04-01 → 👍 30  👎 140  📊 170  👍比: 17.65%  👎比: 82.35%  多數: down | 真實: up ❌
2016-04-02 → 👍 84  👎 61  📊 145  👍比: 57.93%  👎比: 42.07%  多數: up | 真實: up ✅
2016-04-03 → 👍 108  👎 61  📊 169  👍比: 63.91%  👎比: 36.09%  多數: up | 真實: down ❌
2016-04-04 → 👍 68  👎 61  📊 129  👍比: 52.71%  👎比: 47.29%  多數: up | 真實: up ✅
2016-04-05 → 👍 59  👎 60  📊 119  👍比: 49.58%  👎比: 50.42%  多數: down | 真實: up ❌
2016-04-06 → 👍 93  👎 67  📊 160  👍比: 58.13%  👎比: 41.88%  多數: up | 真實: up ✅
2016-04-07 → 👍 27  👎 118  📊 145  👍比: 18.62%  👎比: 81.38%  多數: down | 真實: up ❌
2016-04-08 → 👍 80  👎 68  📊 148  👍比: 54.05%  👎比: 45.95%  多數: up | 真實: up ✅
2016-04-09 → 👍 78  👎 57  📊 135  👍比: 57.78%  👎比: 42.22%  多數: up | 真實: down ❌
2016-04-10 → 👍 104  👎 63  📊 167  👍比: 62.28%  👎比: 37.72%  多數: up | 真實: down ❌
2016-04-11 → 👍 92  👎 62  📊 154  👍比: 59.74%  👎比: 40.26%  多數: up | 真實: down ❌
2016-04-12 → 👍 108  👎 87  📊 195  👍比: 55.38%  👎比: 44.62%  多數: up | 真實: up ✅
2016-04-13 → 👍 78  👎 74  📊 152  👍比: 51.32%  👎比: 48.68%  多數: up | 真實: up ✅
2016-04-14 → 👍 89  👎 73  📊 162  👍比: 54.94%  👎比: 45.06%  多數: up | 真實: up ✅
2016-04-15 → 👍 78  👎 68  📊 146  👍比: 53.42%  👎比: 46.58%  多數: up | 真實: down ❌
2016-04-16 → 👍 20  👎 112  📊 132  👍比: 15.15%  👎比: 84.85%  多數: down | 真實: down ✅
2016-04-17 → 👍 87  👎 67  📊 154  👍比: 56.49%  👎比: 43.51%  多數: up | 真實: up ✅
2016-04-18 → 👍 85  👎 74  📊 159  👍比: 53.46%  👎比: 46.54%  多數: up | 真實: down ❌
2016-04-19 → 👍 15  👎 173  📊 188  👍比: 7.98%  👎比: 92.02%  多數: down | 真實: up ❌
2016-04-20 → 👍 104  👎 75  📊 179  👍比: 58.10%  👎比: 41.90%  多數: up | 真實: up ✅
2016-04-21 → 👍 116  👎 74  📊 190  👍比: 61.05%  👎比: 38.95%  多數: up | 真實: down ❌
2016-04-22 → 👍 85  👎 99  📊 184  👍比: 46.20%  👎比: 53.80%  多數: down | 真實: up ❌
2016-04-23 → 👍 20  👎 152  📊 172  👍比: 11.63%  👎比: 88.37%  多數: down | 真實: up ❌
2016-04-24 → 👍 81  👎 75  📊 156  👍比: 51.92%  👎比: 48.08%  多數: up | 真實: down ❌
2016-04-25 → 👍 80  👎 69  📊 149  👍比: 53.69%  👎比: 46.31%  多數: up | 真實: up ✅
2016-04-26 → 👍 92  👎 82  📊 174  👍比: 52.87%  👎比: 47.13%  多數: up | 真實: down ❌
2016-04-27 → 👍 89  👎 77  📊 166  👍比: 53.61%  👎比: 46.39%  多數: up | 真實: up ✅
2016-04-28 → 👍 71  👎 71  📊 142  👍比: 50.00%  👎比: 50.00%  多數: up | 真實: up ✅
2016-04-29 → 👍 94  👎 88  📊 182  👍比: 51.65%  👎比: 48.35%  多數: up | 真實: up ✅
2016-04-30 → 👍 27  👎 114  📊 141  👍比: 19.15%  👎比: 80.85%  多數: down | 真實: down ✅
2016-05-01 → 👍 93  👎 71  📊 164  👍比: 56.71%  👎比: 43.29%  多數: up | 真實: up ✅
2016-05-02 → 👍 98  👎 87  📊 185  👍比: 52.97%  👎比: 47.03%  多數: up | 真實: down ❌
2016-05-03 → 👍 28  👎 141  📊 169  👍比: 16.57%  👎比: 83.43%  多數: down | 真實: down ✅
2016-05-04 → 👍 30  👎 146  📊 176  👍比: 17.05%  👎比: 82.95%  多數: down | 真實: down ✅
2016-05-05 → 👍 92  👎 99  📊 191  👍比: 48.17%  👎比: 51.83%  多數: down | 真實: down ✅
2016-05-06 → 👍 34  👎 156  📊 190  👍比: 17.89%  👎比: 82.11%  多數: down | 真實: up ❌
2016-05-07 → 👍 101  👎 95  📊 196  👍比: 51.53%  👎比: 48.47%  多數: up | 真實: down ❌
2016-05-08 → 👍 30  👎 148  📊 178  👍比: 16.85%  👎比: 83.15%  多數: down | 真實: up ❌
2016-05-09 → 👍 111  👎 74  📊 185  👍比: 60.00%  👎比: 40.00%  多數: up | 真實: down ❌
2016-05-10 → 👍 32  👎 144  📊 176  👍比: 18.18%  👎比: 81.82%  多數: down | 真實: up ❌
2016-05-11 → 👍 103  👎 81  📊 184  👍比: 55.98%  👎比: 44.02%  多數: up | 真實: down ❌
2016-05-12 → 👍 111  👎 90  📊 201  👍比: 55.22%  👎比: 44.78%  多數: up | 真實: down ❌
2016-05-13 → 👍 101  👎 95  📊 196  👍比: 51.53%  👎比: 48.47%  多數: up | 真實: down ❌
2016-05-14 → 👍 99  👎 92  📊 191  👍比: 51.83%  👎比: 48.17%  多數: up | 真實: up ✅
2016-05-15 → 👍 90  👎 80  📊 170  👍比: 52.94%  👎比: 47.06%  多數: up | 真實: up ✅
2016-05-16 → 👍 94  👎 92  📊 186  👍比: 50.54%  👎比: 49.46%  多數: up | 真實: down ❌
2016-05-17 → 👍 94  👎 97  📊 191  👍比: 49.21%  👎比: 50.79%  多數: down | 真實: down ✅
2016-05-18 → 👍 100  👎 87  📊 187  👍比: 53.48%  👎比: 46.52%  多數: up | 真實: down ❌
2016-05-19 → 👍 99  👎 81  📊 180  👍比: 55.00%  👎比: 45.00%  多數: up | 真實: down ❌
2016-05-20 → 👍 103  👎 87  📊 190  👍比: 54.21%  👎比: 45.79%  多數: up | 真實: down ❌
2016-05-21 → 👍 117  👎 83  📊 200  👍比: 58.50%  👎比: 41.50%  多數: up | 真實: up ✅
2016-05-22 → 👍 34  👎 141  📊 175  👍比: 19.43%  👎比: 80.57%  多數: down | 真實: up ❌
2016-05-23 → 👍 30  👎 127  📊 157  👍比: 19.11%  👎比: 80.89%  多數: down | 真實: up ❌
2016-05-24 → 👍 92  👎 67  📊 159  👍比: 57.86%  👎比: 42.14%  多數: up | 真實: down ❌
2016-05-25 → 👍 94  👎 80  📊 174  👍比: 54.02%  👎比: 45.98%  多數: up | 真實: up ✅
2016-05-26 → 👍 27  👎 148  📊 175  👍比: 15.43%  👎比: 84.57%  多數: down | 真實: down ✅
2016-05-27 → 👍 127  👎 103  📊 230  👍比: 55.22%  👎比: 44.78%  多數: up | 真實: down ❌
2016-05-28 → 👍 108  👎 73  📊 181  👍比: 59.67%  👎比: 40.33%  多數: up | 真實: up ✅
2016-05-29 → 👍 22  👎 143  📊 165  👍比: 13.33%  👎比: 86.67%  多數: down | 真實: up ❌
2016-05-30 → 👍 31  👎 159  📊 190  👍比: 16.32%  👎比: 83.68%  多數: down | 真實: down ✅
2016-05-31 → 👍 87  👎 80  📊 167  👍比: 52.10%  👎比: 47.90%  多數: up | 真實: up ✅
2016-06-01 → 👍 96  👎 63  📊 159  👍比: 60.38%  👎比: 39.62%  多數: up | 真實: up ✅
2016-06-02 → 👍 86  👎 62  📊 148  👍比: 58.11%  👎比: 41.89%  多數: up | 真實: up ✅
2016-06-03 → 👍 62  👎 76  📊 138  👍比: 44.93%  👎比: 55.07%  多數: down | 真實: down ✅
2016-06-04 → 👍 73  👎 70  📊 143  👍比: 51.05%  👎比: 48.95%  多數: up | 真實: up ✅
2016-06-05 → 👍 25  👎 133  📊 158  👍比: 15.82%  👎比: 84.18%  多數: down | 真實: down ✅
2016-06-06 → 👍 87  👎 72  📊 159  👍比: 54.72%  👎比: 45.28%  多數: up | 真實: down ❌
2016-06-07 → 👍 24  👎 129  📊 153  👍比: 15.69%  👎比: 84.31%  多數: down | 真實: up ❌
2016-06-08 → 👍 19  👎 127  📊 146  👍比: 13.01%  👎比: 86.99%  多數: down | 真實: up ❌
2016-06-09 → 👍 94  👎 80  📊 174  👍比: 54.02%  👎比: 45.98%  多數: up | 真實: down ❌
2016-06-10 → 👍 104  👎 74  📊 178  👍比: 58.43%  👎比: 41.57%  多數: up | 真實: up ✅
2016-06-11 → 👍 88  👎 66  📊 154  👍比: 57.14%  👎比: 42.86%  多數: up | 真實: up ✅
2016-06-12 → 👍 80  👎 81  📊 161  👍比: 49.69%  👎比: 50.31%  多數: down | 真實: up ❌
2016-06-13 → 👍 85  👎 68  📊 153  👍比: 55.56%  👎比: 44.44%  多數: up | 真實: down ❌
2016-06-14 → 👍 77  👎 77  📊 154  👍比: 50.00%  👎比: 50.00%  多數: up | 真實: down ❌
2016-06-15 → 👍 88  👎 68  📊 156  👍比: 56.41%  👎比: 43.59%  多數: up | 真實: down ❌
2016-06-16 → 👍 93  👎 65  📊 158  👍比: 58.86%  👎比: 41.14%  多數: up | 真實: up ✅
2016-06-17 → 👍 87  👎 69  📊 156  👍比: 55.77%  👎比: 44.23%  多數: up | 真實: down ❌
2016-06-18 → 👍 104  👎 60  📊 164  👍比: 63.41%  👎比: 36.59%  多數: up | 真實: up ✅
2016-06-19 → 👍 21  👎 138  📊 159  👍比: 13.21%  👎比: 86.79%  多數: down | 真實: down ✅
2016-06-20 → 👍 21  👎 120  📊 141  👍比: 14.89%  👎比: 85.11%  多數: down | 真實: down ✅
2016-06-21 → 👍 14  👎 151  📊 165  👍比: 8.48%  👎比: 91.52%  多數: down | 真實: down ✅
2016-06-22 → 👍 88  👎 72  📊 160  👍比: 55.00%  👎比: 45.00%  多數: up | 真實: down ❌
2016-06-23 → 👍 69  👎 84  📊 153  👍比: 45.10%  👎比: 54.90%  多數: down | 真實: down ✅
2016-06-24 → 👍 99  👎 74  📊 173  👍比: 57.23%  👎比: 42.77%  多數: up | 真實: up ✅
2016-06-25 → 👍 76  👎 67  📊 143  👍比: 53.15%  👎比: 46.85%  多數: up | 真實: up ✅
2016-06-26 → 👍 67  👎 63  📊 130  👍比: 51.54%  👎比: 48.46%  多數: up | 真實: up ✅
2016-06-27 → 👍 18  👎 117  📊 135  👍比: 13.33%  👎比: 86.67%  多數: down | 真實: up ❌
2016-06-28 → 👍 93  👎 63  📊 156  👍比: 59.62%  👎比: 40.38%  多數: up | 真實: up ✅
2016-06-29 → 👍 74  👎 76  📊 150  👍比: 49.33%  👎比: 50.67%  多數: down | 真實: down ✅
2016-06-30 → 👍 71  👎 81  📊 152  👍比: 46.71%  👎比: 53.29%  多數: down | 真實: down ✅
2016-07-01 → 👍 93  👎 75  📊 168  👍比: 55.36%  👎比: 44.64%  多數: up | 真實: up ✅
2016-07-02 → 👍 100  👎 50  📊 150  👍比: 66.67%  👎比: 33.33%  多數: up | 真實: down ❌
2016-07-03 → 👍 81  👎 72  📊 153  👍比: 52.94%  👎比: 47.06%  多數: up | 真實: down ❌
2016-07-04 → 👍 79  👎 71  📊 150  👍比: 52.67%  👎比: 47.33%  多數: up | 真實: down ❌
2016-07-05 → 👍 80  👎 57  📊 137  👍比: 58.39%  👎比: 41.61%  多數: up | 真實: up ✅
2016-07-06 → 👍 82  👎 65  📊 147  👍比: 55.78%  👎比: 44.22%  多數: up | 真實: up ✅
2016-07-07 → 👍 80  👎 70  📊 150  👍比: 53.33%  👎比: 46.67%  多數: up | 真實: down ❌
2016-07-08 → 👍 60  👎 64  📊 124  👍比: 48.39%  👎比: 51.61%  多數: down | 真實: down ✅
2016-07-09 → 👍 101  👎 64  📊 165  👍比: 61.21%  👎比: 38.79%  多數: up | 真實: down ❌
2016-07-10 → 👍 29  👎 149  📊 178  👍比: 16.29%  👎比: 83.71%  多數: down | 真實: down ✅
2016-07-11 → 👍 20  👎 133  📊 153  👍比: 13.07%  👎比: 86.93%  多數: down | 真實: down ✅
2016-07-12 → 👍 91  👎 72  📊 163  👍比: 55.83%  👎比: 44.17%  多數: up | 真實: up ✅
2016-07-13 → 👍 67  👎 84  📊 151  👍比: 44.37%  👎比: 55.63%  多數: down | 真實: up ❌
2016-07-14 → 👍 87  👎 66  📊 153  👍比: 56.86%  👎比: 43.14%  多數: up | 真實: down ❌
2016-07-15 → 👍 90  👎 78  📊 168  👍比: 53.57%  👎比: 46.43%  多數: up | 真實: down ❌
2016-07-16 → 👍 82  👎 74  📊 156  👍比: 52.56%  👎比: 47.44%  多數: up | 真實: up ✅
2016-07-17 → 👍 87  👎 88  📊 175  👍比: 49.71%  👎比: 50.29%  多數: down | 真實: down ✅
2016-07-18 → 👍 86  👎 70  📊 156  👍比: 55.13%  👎比: 44.87%  多數: up | 真實: down ❌
2016-07-19 → 👍 14  👎 132  📊 146  👍比: 9.59%  👎比: 90.41%  多數: down | 真實: down ✅
2016-07-20 → 👍 93  👎 78  📊 171  👍比: 54.39%  👎比: 45.61%  多數: up | 真實: down ❌
2016-07-21 → 👍 124  👎 111  📊 235  👍比: 52.77%  👎比: 47.23%  多數: up | 真實: up ✅
2016-07-22 → 👍 94  👎 69  📊 163  👍比: 57.67%  👎比: 42.33%  多數: up | 真實: up ✅
2016-07-23 → 👍 21  👎 122  📊 143  👍比: 14.69%  👎比: 85.31%  多數: down | 真實: up ❌
2016-07-24 → 👍 93  👎 73  📊 166  👍比: 56.02%  👎比: 43.98%  多數: up | 真實: down ❌
2016-07-25 → 👍 92  👎 57  📊 149  👍比: 61.74%  👎比: 38.26%  多數: up | 真實: up ✅
2016-07-26 → 👍 84  👎 71  📊 155  👍比: 54.19%  👎比: 45.81%  多數: up | 真實: down ❌
2016-07-27 → 👍 92  👎 63  📊 155  👍比: 59.35%  👎比: 40.65%  多數: up | 真實: up ✅
2016-07-28 → 👍 84  👎 71  📊 155  👍比: 54.19%  👎比: 45.81%  多數: up | 真實: up ✅
2016-07-29 → 👍 102  👎 63  📊 165  👍比: 61.82%  👎比: 38.18%  多數: up | 真實: down ❌
2016-07-30 → 👍 76  👎 80  📊 156  👍比: 48.72%  👎比: 51.28%  多數: down | 真實: down ✅
2016-07-31 → 👍 70  👎 86  📊 156  👍比: 44.87%  👎比: 55.13%  多數: down | 真實: up ❌
2016-08-01 → 👍 24  👎 142  📊 166  👍比: 14.46%  👎比: 85.54%  多數: down | 真實: down ✅
2016-08-02 → 👍 89  👎 83  📊 172  👍比: 51.74%  👎比: 48.26%  多數: up | 真實: up ✅
2016-08-03 → 👍 101  👎 72  📊 173  👍比: 58.38%  👎比: 41.62%  多數: up | 真實: down ❌
2016-08-04 → 👍 26  👎 143  📊 169  👍比: 15.38%  👎比: 84.62%  多數: down | 真實: up ❌
2016-08-05 → 👍 32  👎 154  📊 186  👍比: 17.20%  👎比: 82.80%  多數: down | 真實: up ❌
2016-08-06 → 👍 90  👎 75  📊 165  👍比: 54.55%  👎比: 45.45%  多數: up | 真實: down ❌
2016-08-07 → 👍 36  👎 164  📊 200  👍比: 18.00%  👎比: 82.00%  多數: down | 真實: down ✅
2016-08-08 → 👍 89  👎 79  📊 168  👍比: 52.98%  👎比: 47.02%  多數: up | 真實: up ✅
2016-08-09 → 👍 19  👎 166  📊 185  👍比: 10.27%  👎比: 89.73%  多數: down | 真實: down ✅
2016-08-10 → 👍 100  👎 69  📊 169  👍比: 59.17%  👎比: 40.83%  多數: up | 真實: down ❌
2016-08-11 → 👍 29  👎 157  📊 186  👍比: 15.59%  👎比: 84.41%  多數: down | 真實: down ✅
2016-08-12 → 👍 96  👎 72  📊 168  👍比: 57.14%  👎比: 42.86%  多數: up | 真實: up ✅
2016-08-13 → 👍 88  👎 73  📊 161  👍比: 54.66%  👎比: 45.34%  多數: up | 真實: down ❌
2016-08-14 → 👍 95  👎 91  📊 186  👍比: 51.08%  👎比: 48.92%  多數: up | 真實: up ✅
2016-08-15 → 👍 23  👎 143  📊 166  👍比: 13.86%  👎比: 86.14%  多數: down | 真實: up ❌
2016-08-16 → 👍 89  👎 95  📊 184  👍比: 48.37%  👎比: 51.63%  多數: down | 真實: up ❌
2016-08-17 → 👍 99  👎 88  📊 187  👍比: 52.94%  👎比: 47.06%  多數: up | 真實: up ✅
2016-08-18 → 👍 90  👎 90  📊 180  👍比: 50.00%  👎比: 50.00%  多數: up | 真實: up ✅
2016-08-19 → 👍 81  👎 82  📊 163  👍比: 49.69%  👎比: 50.31%  多數: down | 真實: down ✅
2016-08-20 → 👍 70  👎 64  📊 134  👍比: 52.24%  👎比: 47.76%  多數: up | 真實: down ❌
2016-08-21 → 👍 63  👎 50  📊 113  👍比: 55.75%  👎比: 44.25%  多數: up | 真實: down ❌
2016-08-22 → 👍 65  👎 59  📊 124  👍比: 52.42%  👎比: 47.58%  多數: up | 真實: up ✅
2016-08-23 → 👍 74  👎 74  📊 148  👍比: 50.00%  👎比: 50.00%  多數: up | 真實: up ✅
2016-08-24 → 👍 102  👎 80  📊 182  👍比: 56.04%  👎比: 43.96%  多數: up | 真實: down ❌
2016-08-25 → 👍 118  👎 111  📊 229  👍比: 51.53%  👎比: 48.47%  多數: up | 真實: up ✅
2016-08-26 → 👍 117  👎 103  📊 220  👍比: 53.18%  👎比: 46.82%  多數: up | 真實: up ✅
2016-08-27 → 👍 116  👎 106  📊 222  👍比: 52.25%  👎比: 47.75%  多數: up | 真實: down ❌
2016-08-28 → 👍 28  👎 197  📊 225  👍比: 12.44%  👎比: 87.56%  多數: down | 真實: down ✅
2016-08-29 → 👍 130  👎 80  📊 210  👍比: 61.90%  👎比: 38.10%  多數: up | 真實: down ❌
2016-08-30 → 👍 93  👎 78  📊 171  👍比: 54.39%  👎比: 45.61%  多數: up | 真實: down ❌
2016-08-31 → 👍 93  👎 76  📊 169  👍比: 55.03%  👎比: 44.97%  多數: up | 真實: down ❌
2017-11-01 → 👍 119  👎 109  📊 228  👍比: 52.19%  👎比: 47.81%  多數: up | 真實: up ✅
2017-11-02 → 👍 101  👎 87  📊 188  👍比: 53.72%  👎比: 46.28%  多數: up | 真實: down ❌
